davidcanvas.js:2909 onMouseDown: 583, 143 ( 37.18112244897959, 31.63716814159292 )
davidcanvas.js:2917 onMouseUp: 583, 143 ( 37.18112244897959, 31.63716814159292 )
davidcanvas.js:2909 onMouseDown: 594, 148 ( 37.88265306122449, 32.743362831858406 )
davidcanvas.js:2917 onMouseUp: 594, 148 ( 37.88265306122449, 32.743362831858406 )
davidcanvas.js:2909 onMouseDown: 620, 160 ( 39.54081632653061, 35.39823008849557 )
davidcanvas.js:2917 onMouseUp: 620, 160 ( 39.54081632653061, 35.39823008849557 )
davidcanvas.js:2909 onMouseDown: 643, 169 ( 41.00765306122449, 37.389380530973455 )
davidcanvas.js:2917 onMouseUp: 643, 169 ( 41.00765306122449, 37.389380530973455 )
davidcanvas.js:2909 onMouseDown: 663, 165 ( 42.28316326530612, 36.50442477876106 )
davidcanvas.js:2917 onMouseUp: 663, 165 ( 42.28316326530612, 36.50442477876106 )
davidcanvas.js:2909 onMouseDown: 685, 165 ( 43.68622448979592, 36.50442477876106 )
davidcanvas.js:2917 onMouseUp: 685, 165 ( 43.68622448979592, 36.50442477876106 )
davidcanvas.js:2909 onMouseDown: 715, 171 ( 45.599489795918366, 37.83185840707964 )
davidcanvas.js:2917 onMouseUp: 715, 171 ( 45.599489795918366, 37.83185840707964 )
davidcanvas.js:2909 onMouseDown: 733, 157 ( 46.74744897959184, 34.73451327433628 )
davidcanvas.js:2917 onMouseUp: 733, 157 ( 46.74744897959184, 34.73451327433628 )
davidcanvas.js:2909 onMouseDown: 757, 147 ( 48.2780612244898, 32.52212389380531 )
davidcanvas.js:2917 onMouseUp: 757, 147 ( 48.2780612244898, 32.52212389380531 )
davidcanvas.js:2909 onMouseDown: 777, 127 ( 49.55357142857143, 28.097345132743364 )
davidcanvas.js:2917 onMouseUp: 777, 127 ( 49.55357142857143, 28.097345132743364 )
davidcanvas.js:2909 onMouseDown: 819, 125 ( 52.232142857142854, 27.654867256637168 )
davidcanvas.js:2917 onMouseUp: 821, 125 ( 52.359693877551024, 27.654867256637168 )
davidcanvas.js:2909 onMouseDown: 843, 147 ( 53.76275510204081, 32.52212389380531 )
davidcanvas.js:2917 onMouseUp: 843, 147 ( 53.76275510204081, 32.52212389380531 )
davidcanvas.js:2909 onMouseDown: 886, 141 ( 56.505102040816325, 31.194690265486727 )
davidcanvas.js:2917 onMouseUp: 886, 141 ( 56.505102040816325, 31.194690265486727 )
davidcanvas.js:2909 onMouseDown: 916, 151 ( 58.41836734693877, 33.4070796460177 )
davidcanvas.js:2917 onMouseUp: 916, 151 ( 58.41836734693877, 33.4070796460177 )
davidcanvas.js:2909 onMouseDown: 937, 153 ( 59.75765306122449, 33.849557522123895 )
davidcanvas.js:2917 onMouseUp: 937, 153 ( 59.75765306122449, 33.849557522123895 )
davidcanvas.js:2909 onMouseDown: 959, 151 ( 61.160714285714285, 33.4070796460177 )
davidcanvas.js:2917 onMouseUp: 959, 151 ( 61.160714285714285, 33.4070796460177 )
davidcanvas.js:2909 onMouseDown: 1012, 146 ( 64.54081632653062, 32.30088495575221 )
davidcanvas.js:2917 onMouseUp: 1012, 146 ( 64.54081632653062, 32.30088495575221 )
davidcanvas.js:2909 onMouseDown: 1010, 132 ( 64.41326530612245, 29.20353982300885 )
davidcanvas.js:2917 onMouseUp: 1010, 132 ( 64.41326530612245, 29.20353982300885 )
davidcanvas.js:2909 onMouseDown: 938, 122 ( 59.82142857142857, 26.991150442477878 )
davidcanvas.js:2917 onMouseUp: 938, 122 ( 59.82142857142857, 26.991150442477878 )
davidcanvas.js:2909 onMouseDown: 988, 104 ( 63.01020408163265, 23.008849557522122 )
davidcanvas.js:2917 onMouseUp: 988, 104 ( 63.01020408163265, 23.008849557522122 )
davidcanvas.js:2909 onMouseDown: 947, 100 ( 60.39540816326531, 22.123893805309734 )
davidcanvas.js:2917 onMouseUp: 947, 100 ( 60.39540816326531, 22.123893805309734 )
davidcanvas.js:2909 onMouseDown: 909, 122 ( 57.9719387755102, 26.991150442477878 )
davidcanvas.js:2917 onMouseUp: 909, 122 ( 57.9719387755102, 26.991150442477878 )
davidcanvas.js:2909 onMouseDown: 875, 122 ( 55.80357142857143, 26.991150442477878 )
davidcanvas.js:2917 onMouseUp: 875, 122 ( 55.80357142857143, 26.991150442477878 )
davidcanvas.js:2909 onMouseDown: 849, 118 ( 54.14540816326531, 26.106194690265486 )
davidcanvas.js:2917 onMouseUp: 849, 118 ( 54.14540816326531, 26.106194690265486 )
davidcanvas.js:2909 onMouseDown: 848, 103 ( 54.08163265306123, 22.787610619469028 )
davidcanvas.js:2917 onMouseUp: 848, 103 ( 54.08163265306123, 22.787610619469028 )
davidcanvas.js:2909 onMouseDown: 837, 100 ( 53.380102040816325, 22.123893805309734 )
davidcanvas.js:2917 onMouseUp: 837, 100 ( 53.380102040816325, 22.123893805309734 )
davidcanvas.js:2909 onMouseDown: 807, 98 ( 51.46683673469388, 21.68141592920354 )
davidcanvas.js:2917 onMouseUp: 807, 98 ( 51.46683673469388, 21.68141592920354 )
davidcanvas.js:2909 onMouseDown: 751, 94 ( 47.89540816326531, 20.79646017699115 )
davidcanvas.js:2917 onMouseUp: 751, 94 ( 47.89540816326531, 20.79646017699115 )
davidcanvas.js:2909 onMouseDown: 707, 92 ( 45.089285714285715, 20.353982300884955 )
davidcanvas.js:2917 onMouseUp: 707, 92 ( 45.089285714285715, 20.353982300884955 )
davidcanvas.js:2909 onMouseDown: 682, 72 ( 43.494897959183675, 15.929203539823009 )
davidcanvas.js:2917 onMouseUp: 682, 72 ( 43.494897959183675, 15.929203539823009 )
davidcanvas.js:2909 onMouseDown: 640, 68 ( 40.816326530612244, 15.044247787610619 )
davidcanvas.js:2917 onMouseUp: 640, 68 ( 40.816326530612244, 15.044247787610619 )
davidcanvas.js:2909 onMouseDown: 616, 54 ( 39.285714285714285, 11.946902654867257 )
davidcanvas.js:2917 onMouseUp: 616, 54 ( 39.285714285714285, 11.946902654867257 )
davidcanvas.js:2909 onMouseDown: 593, 101 ( 37.81887755102041, 22.345132743362832 )
davidcanvas.js:2917 onMouseUp: 593, 101 ( 37.81887755102041, 22.345132743362832 )
davidcanvas.js:2909 onMouseDown: 637, 120 ( 40.625, 26.548672566371682 )
davidcanvas.js:2917 onMouseUp: 637, 120 ( 40.625, 26.548672566371682 )
davidcanvas.js:2909 onMouseDown: 667, 124 ( 42.53826530612245, 27.43362831858407 )
davidcanvas.js:2917 onMouseUp: 667, 124 ( 42.53826530612245, 27.43362831858407 )
davidcanvas.js:2909 onMouseDown: 737, 89 ( 47.00255102040816, 19.690265486725664 )
davidcanvas.js:2917 onMouseUp: 737, 89 ( 47.00255102040816, 19.690265486725664 )
